Name,City,Country,IATA,Latitude,Longitude,Altitude,destination_airport,destination_city,destination_country,destination_airport_lat,destination_airport_lon,destination_airport_alt,destination_airport_IATA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Jorge Chávez International Airport,Lima,Peru,-12.0219,-77.114305,113.0,LIM
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,40.471926,-3.56264,1998.0,MAD
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Orlando International Airport,Orlando,United States,28.429399490356445,-81.30899810791016,96.0,MCO
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Melbourne International Airport,Melbourne,Australia,-37.673302,144.843002,434.0,MEL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Licenciado Benito Juarez International Airport,Mexico City,Mexico,19.4363,-99.072098,7316.0,MEX
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Rogue Valley International Medford Airport,Medford,United States,42.37419891357422,-122.8730010986328,1335.0,MFR
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Miami International Airport,Miami,United States,25.79319953918457,-80.29060363769531,8.0,MIA
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Mammoth Yosemite Airport,Mammoth Lakes,United States,37.62409973,-118.83799740000002,7135.0,MMH
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Monterey Peninsula Airport,Monterey,United States,36.58700180053711,-121.84300231933594,257.0,MRY
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Nadi International Airport,Nandi,Fiji,-17.755399703979492,177.4429931640625,59.0,NAN
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Narita International Airport,Tokyo,Japan,35.7647018433,140.386001587,141.0,NRT
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Kahului Airport,Kahului,United States,20.8986,-156.429993,54.0,OGG
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Will Rogers World Airport,Oklahoma City,United States,35.39310073852539,-97.60070037841795,1295.0,OKC
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,672.0,ORD
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Palm Beach International Airport,West Palm Beach,United States,26.68320083618164,-80.09559631347656,19.0,PBI
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,PDX
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Philadelphia International Airport,Philadelphia,United States,39.87189865112305,-75.24109649658203,36.0,PHL
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429946899414,-112.01200103759766,1135.0,PHX
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,PIT
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Faa'a International Airport,Papeete,French Polynesia,-17.553698999999998,-149.60699499999998,5.0,PPT
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Shanghai Pudong International Airport,Shanghai,China,31.143400192260746,121.80500030517578,13.0,PVG
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971,125,Roberts Field,Redmond-Bend,United States,44.2541008,-121.1500015,3080.0,RDM
